Country,2015Life.expectancy,Medical doctors,Nurses,Pharmacists
Afghanistan,65,2.54,4.52,0.29
Albania,77.8,18.83,58.31,10.86
Algeria,75.6,17.32,15.59,4.49
Angola,52.4,2.11,4.01,0.74
Antigua and Barbuda,76.4,28.98,95.77,1.83
Argentina,76.3,38.95,54.47,4.97
Armenia,74.8,45.46,50.34,0.5
Australia,82.8,41.02,148.2,10.44
Austria,81.5,54.59,107.7,7.32
Azerbaijan,72.7,31.11,62.78,1.95
Bahamas,76.1,18.55,43.82,5.34
Bahrain,76.9,8.42,23.46,1.63
Bangladesh,71.8,6.7,6.13,1.01
Barbados,75.5,25.5,31.36,9.31
Belarus,72.3,44.34,107.1,3.53
Belgium,81.1,62.57,205.3,20.27
Belize,71,10.81,23.48,6.78
Benin,60,0.62,2.91,0.26
Bhutan,69.8,5.6,22.1,0.63
Bolivia (Plurinational State of),77,10.08,15.26,2.2
Bosnia and Herzegovina,77.4,21.03,56.05,1.26
Botswana,65.7,3.48,50.18,1.99
Brazil,75,21.42,55.13,3.36
Brunei Darussalam,77.7,19.13,67.11,2.13
Bulgaria,74.5,41.68,47.41,8.24
Burkina Faso,59.9,0.91,8.99,0.15
Burundi,59.6,0.65,7.58,0.079
Cabo Verde,73.3,7.91,12.36,3.01
Cambodia,68.7,2.14,10.25,0.35
Cameroon,57.3,1.24,1.93,0.097
Canada,82.2,24.64,102.7,10.55
Central African Republic,52.5,0.66,2.35,0.071
Chad,53.1,0.58,1.98,0.083
Chile,85,29.73,46.01,6.3
China,76.1,23.87,33.05,3.21
Colombia,74.8,23.62,14.49,1.69
Comoros,63.5,2.83,15.9,0.71
Congo,64.7,1,9.34,0.29
Costa Rica,79.6,27.7,30.63,11.73
Côte d'Ivoire,53.3,1.6,6.45,0.36
Croatia,78,34.66,80.93,7.15
Cyprus,85,53.75,46.28,13.3
Czechia,78.8,54.69,92.03,7.21
Democratic People's Republic of Korea,76,36.71,44.34,3.96
Democratic Republic of the Congo,59.8,3.62,10.72,0.19
Denmark,86,42.64,105.4,4.45
Djibouti,63.5,2.03,6.62,2.12
Dominican Republic,73.9,14.33,14.4,1.16
Ecuador,76.2,22.32,25.16,0.42
Egypt,79,7.09,18.27,4.34
El Salvador,73.5,29.13,26.35,5.37
Equatorial Guinea,58.2,3.5,2.7,0.067
Eritrea,64.7,0.82,14.43,1.31
Estonia,77.6,38.63,111.8,7.39
Eswatini,58.9,1.4,24.71,0.41
Ethiopia,64.8,1.04,7.7,0.46
Fiji,69.9,8.14,38.37,1.04
Finland,81.1,43.25,223.2,20.12
France,82.4,33.24,122.2,10.64
Gabon,66,5.94,26.8,0.61
Gambia,61.1,0.77,8.88,0.019
Georgia,74.4,54.05,58.75,0.92
Germany,81,45.18,123.5,6.68
Ghana,62.4,1.64,34.96,0.43
Greece,81,63.06,36.98,10.86
Grenada,73.6,13.14,57.47,6.25
Guatemala,71.9,12.8,23.08,1.22
Guinea,59,2.22,5.73,0.2
Guinea-Bissau,58.9,2.2,10.53,0.01
Guyana,66.2,14.05,34.83,0.59
Haiti,63.5,2.37,4.02,0.31
Honduras,74.6,4.89,7.13,0.53
Hungary,75.8,32.91,66.04,7.84
Iceland,82.7,38.91,163.3,5.67
India,68.3,7.27,17.28,8.6
Indonesia,69.1,6.95,11.16,3.11
Iran (Islamic Republic of),75.5,15.14,19.84,2.8
Iraq,68.9,9.13,22.56,3.88
Ireland,81.4,40.62,149,13.68
Israel,82.5,36.54,56.32,8.43
Italy,82.7,41.26,65.53,12.42
Jamaica,76.2,5.5,9.84,0.16
Japan,83.7,26.14,124.5,20.01
Jordan,74.1,25.13,31.6,9.85
Kazakhstan,72,40.28,71.86,8.02
Kenya,63.4,2.26,11.99,0.19
Kiribati,66.3,1.94,36.22,0.25
Kuwait,74.7,22.93,45.87,4.82
Kyrgyzstan,71.1,21.68,56.84,0.42
Lao People's Democratic Republic,65.7,3.27,11.83,2.27
Latvia,74.6,33.45,44,8.81
Lebanon,74.9,26.17,19.29,14.9
Lesotho,53.7,4.54,31.24,1.81
Liberia,61.4,0.5,19.26,2.19
Libya,72.7,21.57,67.38,6.2
Lithuania,73.6,49.5,96.63,12.21
Luxembourg,82,29.85,120.8,6.98
Madagascar,65.5,1.95,2.92,0.12
Malawi,58.3,0.49,7,0.078
Malaysia,75,22.28,33.94,3.38
Maldives,78.5,21.61,48.97,6.84
Mali,58.2,1.23,4.22,0.091
Malta,81.7,54.85,144,25.48
Mauritania,63.1,1.92,9.54,0.18
Mauritius,74.6,26.58,38.49,5.77
Mexico,76.7,24.41,29.56,0.5
Mongolia,68.8,38.59,42.22,6.83
Morocco,74.3,7.32,13.91,2.6
Mozambique,57.6,0.81,5.68,0.13
Myanmar,66.6,7.51,11.03,0.79
Namibia,65.8,6.01,19.89,2.49
Nepal,69.2,8.67,34.89,1.71
Netherlands,81.9,38.36,113.3,2.17
New Zealand,81.6,35.16,114.3,7.21
Nicaragua,74.8,6.64,15.3,1.84
Niger,61.8,0.34,2.22,0.027
Nigeria,54.5,3.95,15.64,0.81
Norway,81.8,51.68,188.9,9.14
Oman,76.6,19.94,44.26,6.41
Pakistan,66.4,10.84,4.69,1.5
Panama,77.8,16.29,35.39,2.37
Papua New Guinea,62.9,0.63,5.11,0.079
Paraguay,74,32.42,90.3,5.5
Peru,75.5,16.46,26.13,1.52
Philippines,68.5,7.86,47.55,4.7
Poland,77.5,37.14,67.62,9.51
Portugal,81.1,56.15,75.6,9.53
Qatar,78.2,24.99,72.36,8.94
Republic of Korea,82.3,25.08,85.3,7.67
Republic of Moldova,72.1,40.57,61.18,3.95
Romania,75,29.74,73.72,9.05
Russian Federation,75,38.27,62.45,0.4
Rwanda,66.1,1.16,9.33,0.71
Saint Lucia,75.2,6.55,32.22,4.46
Saint Vincent and the Grenadines,73.2,9.44,73.41,3.2
Samoa,74,5.54,30.15,0.23
Sao Tome and Principe,67.5,4.89,21.53,1.72
Saudi Arabia,74.5,27.89,56.05,8.58
Senegal,66.7,0.84,3.57,0.13
Serbia,75.6,36.78,71.91,9.58
Seychelles,73.2,21.07,92.24,12.03
Sierra Leone,51,0.7,2.04,0.23
Singapore,83.1,24.34,61.82,5.03
Slovakia,76.7,46.29,78.5,10.51
Slovenia,88,32.79,105.4,7.35
Solomon Islands,69.2,1.91,21.44,1.18
South Africa,62.9,8.09,50.13,2.71
South Sudan,57.3,0.4,3.58,0.35
Spain,82.8,45.77,63.06,13.16
Sri Lanka,74.9,11.92,24.39,1.06
Sudan,64.1,2.63,11.4,0.25
Suriname,71.6,7.95,38.03,0.35
Sweden,82.4,70.62,215.9,16.12
Switzerland,83.4,44.43,187.1,6.73
Syrian Arab Republic,64.5,11.86,14.19,9.82
Tajikistan,69.7,17.08,47.12,1.02
Thailand,74.9,9.28,30.78,6.16
The former Yugoslav republic of Macedonia,75.7,28.34,37.4,4.42
Timor-Leste,68.3,7.67,17.73,2.12
Togo,59.9,0.59,3.97,0.024
Tonga,73.5,10.09,41.79,0.76
Trinidad and Tobago,71.2,34.12,37.35,6.08
Tunisia,75.3,12.61,24.33,2.21
Turkey,75.8,20.36,34.03,4.2
Turkmenistan,66.3,21.47,42.73,1.64
Uganda,62.3,1.58,16.86,0.39
Ukraine,71.3,29.9,66.56,0.34
United Arab Emirates,77.1,28.79,63.57,12.01
United Kingdom of Great Britain and Northern Ireland,81.2,31.71,91.67,8.53
United Republic of Tanzania,61.8,0.5,5.5,0.32
United States of America,79.3,35.55,124.7,10.64
Uruguay,77,62,115.5,5.42
Uzbekistan,69.4,23.73,112.7,0.41
Vanuatu,72,1.58,14,1.13
Viet Nam,76,8.33,14.54,3.41
Yemen,65.7,2.94,7.27,0.98
Zambia,61.8,2.97,18.64,0.71
Zimbabwe,67,1.89,20.29,1.02
